Review text,Ratings,sentiment,clean_review
"Nice product, good quality, but price is now rising which is a bad sign. 800-850 was an affordable price, especially when we play everyday. So kindly help us out in terms of the price. Thank You.READ MORE",4,1,nice product good quality price rising bad sign affordable price especially play everyday kindly help u term price thank youread
They didn't supplied Yonex Mavis 350. Outside cover was Yonex Ad inside was a cheapest....  Sad to hear this.READ MORE,1,0,didnt supplied yonex mavis outside cover yonex ad inside cheapest sad hear thisread
Worst product. Damaged shuttlecocks packed in new box. It's not a original yonex product. Don't buy.flipkart platform is chosen to fraud the buyers.READ MORE,1,0,worst product damaged shuttlecock packed new box original yonex product dont buyflipkart platform chosen fraud buyersread
"Quite O. K. , but nowadays  the quality of the corks like not as before 3 to 5 years back.. I am using MAVIS 350 for more than 15 years quality of corks was very very good at that times, but now I am not getting the quality corks as like before, rate of corks also too much now, I am  very sorry to say like this, but in my experience , my Statment is very true to   my knowledgeREAD MORE",3,0,quite k nowadays quality cork like year back using mavis year quality cork good time getting quality cork like rate cork also much sorry say like experience statment true knowledgeread
Over pricedJust â?¹620 ..from retailer.I didn't understand.. Wat is d advantage of buying dis frm flipkrtREAD MORE,1,0,pricedjust retaileri didnt understand wat advantage buying dis frm flipkrtread
Good quality product. Delivered on time.READ MORE,5,1,good quality product delivered timeread
BEST PURCHASE It is a good quality and is more durable than any average shuttle. And shipping was goodREAD MORE,5,1,best purchase good quality durable average shuttle shipping goodread
Good quality original shuttles.READ MORE,5,1,good quality original shuttlesread
AwesomeREAD MORE,5,1,awesomeread
nice original productsREAD MORE,5,1,nice original productsread
This GREEN CAP SHUTTLECOCK is really AWESOME. Quality is BEST and GOOD PACKING.This GREEN CAP SHUTTLECOCK is played at WARM CONDITIONS.Worth for MONEY. Simply LOVED it.....READ MORE,5,1,green cap shuttlecock really awesome quality best good packingthis green cap shuttlecock played warm conditionsworth money simply loved itread
Best in class....READ MORE,5,1,best classread
it's genuine and price is less than our near by shopREAD MORE,5,1,genuine price less near shopread
"This is the second time i am getting an opened bundle of Yonex mavis 350 shuttle. I really believe this is not an original product, or someone may have switched the shuttle inside the bundle. Don't buy from flipkart. I am gonna return this product.READ MORE",1,0,second time getting opened bundle yonex mavis shuttle really believe original product someone may switched shuttle inside bundle dont buy flipkart gonna return productread
really satisfied with the quality and the prompt delivery.....happy customer of Flipkart 👍READ MORE,5,1,really satisfied quality prompt deliveryhappy customer flipkart read
NycREAD MORE,5,1,nycread
I usually buy them the same model but this did not last even for a dayREAD MORE,1,0,usually buy model last even dayread
"Poor quality, not originalREAD MORE",2,0,poor quality originalread
Delivered on expected timeREAD MORE,5,1,delivered expected timeread
nice and original productREAD MORE,5,1,nice original productread
Very nice and Good price compare then local sports.READ MORE,5,1,nice good price compare local sportsread
It's perfect. Go for it. Yonex will never disappoint you. Pros - 1. The feather might look little cheap at first glance but it ain't like that. The quality it best.2. The bottom cork is so amazing. We play in an open court and it perfectly glides around. Balanced base. 3. The durability seems to go fine. No issues on that. We (intermediate players) have been using one shuttle since 2 days now. Cons - 1. Slightly on a higher range. 2. If you use 30lbs + BG 65 or 98 racquet then it's p...READ MORE,5,1,perfect go yonex never disappoint pro feather might look little cheap first glance aint like quality best bottom cork amazing play open court perfectly glide around balanced base durability seems go fine issue intermediate player using one shuttle since day con slightly higher range use lb bg racquet pread
superbREAD MORE,4,1,superbread
"Looked like defective once, without balance, had to throw 4 out of 6.READ MORE",1,0,looked like defective without balance throw read
Genuine product at very reasonable price....got for Rs 630/-READ MORE,4,1,genuine product reasonable pricegot r read
Good sealed Original Yonex ShuttlesREAD MORE,5,1,good sealed original yonex shuttlesread
They are not as expected...the head  portion break very soon...defective pieces..READ MORE,2,0,expectedthe head portion break soondefective piecesread
I am giving 4 star only for its price hike. Please anyone suggest any other shuttle cork for same performance with lower price.READ MORE,4,1,giving star price hike please anyone suggest shuttle cork performance lower priceread
quality is pooverREAD MORE,5,1,quality pooverread
good productREAD MORE,5,1,good productread
Good product.....READ MORE,5,1,good productread
Received in good condition...am really satisfied with the product.But I am not satisfied with those delivery boys who always does not have coins in return...it means that we are paying extra money for our item. They also know this opportunity so they never have coins to return...I really dont like this kind of selfishness!READ MORE,4,1,received good conditionam really satisfied productbut satisfied delivery boy always coin returnit mean paying extra money item also know opportunity never coin returni really dont like kind selfishnessread
"After using, found shuttles quality are not upto the level. This box has not 3d quality sticker.READ MORE",2,0,using found shuttle quality upto level box quality stickerread
Local productREAD MORE,1,0,local productread
Few of shuttle just separated from base in just a single shot. Very poor qualityREAD MORE,2,0,shuttle separated base single shot poor qualityread
shuttle is over rotatingREAD MORE,2,0,shuttle rotatingread
Very bad quality.READ MORE,1,0,bad qualityread
Worst quality after 2 or 3 shots the ball started to rotate.READ MORE,1,0,worst quality shot ball started rotateread
Not expecting this kind of products from flipkart.READ MORE,3,0,expecting kind product flipkartread
No one better shuttles in the market.good quality and reasonable price.READ MORE,5,1,one better shuttle marketgood quality reasonable priceread
low qualityREAD MORE,1,0,low qualityread
Superb quality... And best price.. Thanks to flipkart..!READ MORE,4,1,superb quality best price thanks flipkartread
second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,1,0,second quality shuttle dont buy almost torn shaped worst experience go buy shop cost around read
I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,4,1,dont think genuine co checked official website yonex hologram number yet product bad job well definitely comparing one original one shop near let others know difference anyread
Very bad quality this timeREAD MORE,1,0,bad quality timeread
"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",1,0,ive received duplicate n cheapest ball kept inside broken box done deleberately worst experience ive ever flipkart buy anything except badminton yonex mavis read
"Quality is not good, rejected qualityREAD MORE",1,0,quality good rejected qualityread
This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,5,1,green cap shuttle good indoor well outdoor play though slow speed durable thanks great dealread
Really Nice productQuick delivery Thanks filpkartREAD MORE,5,1,really nice productquick delivery thanks filpkartread
Very nice shuttleREAD MORE,5,1,nice shuttleread
Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,1,0,horrible producteach shuttle didnt last even single dayextremely poor qualitypatheticread
Quality very low. Not orginalREAD MORE,1,0,quality low orginalread
WorstREAD MORE,1,0,worstread
Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,1,0,difference online quality market quality local market product far better online productsread
Dont but it.... worst productREAD MORE,1,0,dont worst productread
Low quality very bad quality 😡READ MORE,1,0,low quality bad quality read
"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",1,0,product original cork used come within day use please dont buy shuttle original rather buy shop shop rate sameread
Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,1,0,quality good earlier also manufactur date also long back earlier shuttlecock received max past month manufacturer also backread
Not genuine productREAD MORE,1,0,genuine productread
Waste productREAD MORE,1,0,waste productread
I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,1,0,used shuttle item quality slow disappointed timeread
Very High PriceREAD MORE,1,0,high priceread
"Bad bad , compare to ah year back coming mavis 350READ MORE",1,0,bad bad compare ah year back coming mavis read
"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",5,1,yonex mavis best among yonex shuttlecock playing one year price increasing unnecessarily r last yearread
Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,1,0,bad product quality used shuttle day totally wastage money copied productread
All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,1,0,shuttle heavier specification felt like playing cheap rip original mavis read
3rd class quality  I want Returns but time is overREAD MORE,1,0,rd class quality want return time overread
Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,1,0,worst shuttle ever shuttle started spinning shot even come gameread
Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,1,0,certain cork damaged certain cork even came matchesread
Very bad quality 👎READ MORE,1,0,bad quality read
Not expected qualityREAD MORE,1,0,expected qualityread
Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,1,0,bad quality couldnt play hr shuttleread
not durable. very poor qualityREAD MORE,1,0,durable poor qualityread
but price is littel bit highREAD MORE,4,1,price littel bit highread
GoodREAD MORE,5,1,goodread
NiceREAD MORE,3,0,niceread
not the required one.READ MORE,5,1,required oneread
This product is not original.please avoid online purchase.READ MORE,1,0,product originalplease avoid online purchaseread
One shuttle was damaged and vobling..let me know what to doREAD MORE,1,0,one shuttle damaged voblinglet know doread
Good quality productREAD MORE,4,1,good quality productread
Good shuttle and  classic productREAD MORE,5,1,good shuttle classic productread
got defective piecesREAD MORE,1,0,got defective piecesread
"bad packing, unsatisfiedREAD MORE",1,0,bad packing unsatisfiedread
Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,5,1,pro quality product yonexit original shuttle run long prompt delivery flipkart shuttle durableconsnoneread
good quality..  nice product..  thanks fpr fast deliveryREAD MORE,5,1,good quality nice product thanks fpr fast deliveryread
Nice cockeREAD MORE,5,1,nice cockeread
Good qualityREAD MORE,5,1,good qualityread
Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,1,0,scratch code mentioned barrel verified yonex sunrise website mentioned product duplicateread
it's awsm 😎READ MORE,4,1,awsm read
reasonable priceREAD MORE,5,1,reasonable priceread
"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",5,1,excellent product original product received fast delivery second tough go itread
One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,5,1,one best offer given flipkart best shuttle tournament training always use type shuttle play yonex mavis green thanks flipkart best deal always put type deal booked onlyread
"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",4,1,good question lasting match purchase yonex mavis blue one little bit fast good smash lasting like green capread
Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,4,1,mavis quite durable really good starter recommend mavis best practice sessionsread
"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",4,1,received product committed time thanks flipkart mavis really awesome product doesnt matter whether beginner intermediate advanced level player mavis definitely perfectly work playing last yearsread
"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",5,1,good nicely packed everyshuttle nice insude perfect flightread
"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",5,1,got product earlier expected r th april sale box properly sealed feb packingimport date sure mrp way cheaper market price r per box also checked popular website one close flipkart point always use mavis green cap stability durability speed open court thanks flipkart hoping cheaper deal againread
"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",5,1,best choice people want practice indoor outdoor badminton get financial obligation feather shuttle mavis hard find time savior always available yellow one bit better outdoor white fine indoors respective colour given backdrop flipkart offered best price almost season far longevity shuttle starkly less played outdoor dueread
"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",4,1,long time got entire box genuine shuttle dynamic pricing strategy big everyday price cant go otherwise would happy buyread
very good product n durable but not good enough speed slows down little in mid airREAD MORE,4,1,good product n durable good enough speed slows little mid airread
The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,4,1,shuttle imported february bought march last serial number revealed scratching sticker show item genuine start play yet item look good sturdy got think worth price also happy get item delivered quicklyread
Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,5,1,best shuttlecock life far better li ning shuttle price range purchased r sale flight also better shuttlecocksread
Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,4,1,good n nice balanced shuttle thanks retailnet n flipkart hope wel get convincing rate lowered oneread
"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",5,1,shuttle best one excellent price doesnt matter read
"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",1,0,quality badper day one cork finishedmay look like duplicate mavis corksi purchased many cork box sellersthat cork box come day playing box stay day understand delicate cork box isread
Cost is too high I hate the productREAD MORE,1,0,cost high hate productread
Very poor quality...inconsistent speed...poor flightREAD MORE,1,0,poor qualityinconsistent speedpoor flightread
Yonex is always best in quality....READ MORE,5,1,yonex always best qualityread
worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,1,0,worst shuttle doesnt last even day poor quality sure due stock issue copy product would never buy flipkartread
"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",5,1,used product good economic use durable good balance long lasting even sustains wrong shot quiet economic compared feather shuttlesread
I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,5,1,im happy product quality arrived actual delivery date given thanks flipkart quick delivery recommended everyone would like enjoy longer satisfied gamesread
Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,5,1,amazing shuttlecockdurable best qualitygo itread
checked at Sunrisetnt.com . found genuineREAD MORE,5,1,checked sunrisetntcom found genuineread
Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,1,0,horrible st order received mavis sealed bill mavis thought mistake asked replacement replacement received box mavis sealed inside cheap shuttle local quality buy flipkartread
AverageREAD MORE,2,0,averageread
"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",5,1,excellent synthetic shuttle yonex used well prefer yellow one visibility general quite durable long lasting one shuttle easily last half dozen dozen intense game flight becomes unacceptable found travel shorter distance therefore prefer themread
Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,5,1,best shuttle available market used shuttle till aware better shuttlethe price got flipkart really best price researched checking online store sport shop definitely best price could findread
"Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",1,0,bad quality pirchase box fastread
Best shuttle available online no more discription needed.READ MORE,5,1,best shuttle available online discription neededread
long lasting product.....nice product....READ MORE,5,1,long lasting productnice productread
best shuttleREAD MORE,5,1,best shuttleread
🏸Good Quality... 🏸READ MORE,5,1,good quality read
Fabulous itemREAD MORE,5,1,fabulous itemread
Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,5,1,nice qualityvery good producti much thankful flipkart courier company delivering quicklyi happyand definitely tell friend order productread
Feels the quality is far less compared to previous set which was brought from other platform. 1 Shuttle is breaking or wobbling per 1 hr game session.. Feeling cheated..READ MORE,1,0,feel quality far less compared previous set brought platform shuttle breaking wobbling per hr game session feeling cheatedread
This is the original mavis 350READ MORE,5,1,original mavis read
Bad quality and poor quality while playing the ahuttles caps or looseREAD MORE,1,0,bad quality poor quality playing ahuttles cap looseread
Two shuttles were durable out of 6..READ MORE,3,0,two shuttle durable read
Poor quality. It was horrible. I didn't play two games with each shuttleREAD MORE,1,0,poor quality horrible didnt play two game shuttleread
Worst product. Every ball in this box got flat within one or two strokes. The disappointed fact is Flipkart is not accepting the replacement because of open box delivery. Without using the product how could I know the quality?READ MORE,1,0,worst product every ball box got flat within one two stroke disappointed fact flipkart accepting replacement open box delivery without using product could know qualityread
Best oneREAD MORE,5,1,best oneread
Excellent product👌READ MORE,5,1,excellent productread
Very Bad Quality in filpkartREAD MORE,1,0,bad quality filpkartread
Delicate productREAD MORE,3,0,delicate productread
Bad qualityREAD MORE,1,0,bad qualityread
Don't have good qualityREAD MORE,1,0,dont good qualityread
Quality of 2 shuttles not as per Mavis 350 standards.READ MORE,1,0,quality shuttle per mavis standardsread
It's is good product and the service was very goodREAD MORE,5,1,good product service goodread
2nd qualityREAD MORE,1,0,nd qualityread
Local productREAD MORE,2,0,local productread
Very old stock.. not lasts to even 5 gamesREAD MORE,2,0,old stock last even gamesread
All shuttles are not good in view of balance.READ MORE,1,0,shuttle good view balanceread
OkREAD MORE,5,1,okread
Nice product all suttles are good 🥰🥰READ MORE,5,1,nice product suttles good read
Nice productREAD MORE,5,1,nice productread
Old one onlyREAD MORE,2,0,old one onlyread
