iter	Logloss
0	0.6687860417
1	0.6469183908
2	0.6273277908
3	0.6146176311
4	0.599804676
5	0.590823696
6	0.5824883071
7	0.5753810527
8	0.5686087748
9	0.5631982837
10	0.5578287341
11	0.552651655
12	0.5471843193
13	0.542762742
14	0.5385798777
15	0.5351296196
16	0.5313632202
17	0.5271008414
18	0.5241939331
19	0.5213202406
20	0.5189589381
21	0.5165700028
22	0.5146164242
23	0.5112422971
24	0.5096433763
25	0.5072091572
26	0.5046213226
27	0.5023565655
28	0.5007494113
29	0.4990359556
30	0.4974599869
31	0.4959700745
32	0.493959877
33	0.4922199729
34	0.4902517884
35	0.4887667258
36	0.4865656932
37	0.4854065278
38	0.4837595035
39	0.4822891032
40	0.4809899695
41	0.4795169751
42	0.4782278231
43	0.4768912442
44	0.4755932383
45	0.4745096964
46	0.4731836631
47	0.4719702473
48	0.470947864
49	0.4700118189
50	0.4687337763
51	0.4673845653
52	0.4660435314
53	0.46524221
54	0.4643793635
55	0.4631195078
56	0.462180643
57	0.4613004274
58	0.4603923534
59	0.4594820801
60	0.4583557638
61	0.4575032091
62	0.4567190313
63	0.4556887811
64	0.4549201397
65	0.454087802
66	0.4526705242
67	0.4521214221
68	0.4512063835
69	0.4506314815
70	0.4495503081
71	0.4485820906
72	0.4478233744
73	0.4471059664
74	0.4462979624
75	0.4457215659
76	0.4450963328
77	0.444110718
78	0.4436620243
79	0.442744166
80	0.4421442535
81	0.4412007363
82	0.440529317
83	0.4397601399
84	0.4392348076
85	0.4386138322
86	0.4379898679
87	0.4371651715
88	0.43621703
89	0.4356708322
90	0.4350209834
91	0.4341396117
92	0.433400182
93	0.4326828586
94	0.4322917424
95	0.4315295299
96	0.4308262484
97	0.4303055403
98	0.4295777559
99	0.4289893758
100	0.4278584071
101	0.42747231
102	0.4267053886
103	0.4263296961
104	0.4254734194
105	0.424742054
106	0.4239104776
107	0.4225856003
108	0.4215556885
109	0.4211332177
110	0.4205336999
111	0.4198732774
112	0.4195397107
113	0.4185452985
114	0.41822036
115	0.4178677041
116	0.4175309794
117	0.4163926232
118	0.4155788671
119	0.4145468969
120	0.4138445177
121	0.4133718004
122	0.4124464982
123	0.411761319
124	0.4114675096
125	0.4107003344
126	0.4098290853
127	0.4091595552
128	0.4086219009
129	0.4080547248
130	0.4077593928
131	0.4068775417
132	0.4065601035
133	0.4053632956
134	0.4049069324
135	0.4041048215
136	0.4037825617
137	0.4033878082
138	0.4029283151
139	0.402634534
140	0.4016116995
141	0.400938673
142	0.4001185163
143	0.3993834007
144	0.3988411222
145	0.3982416327
146	0.3977406905
147	0.3974319369
148	0.3968107359
149	0.3965610543
150	0.3957372038
151	0.3953310871
152	0.3950497124
153	0.3948120144
154	0.3943472204
155	0.3937399204
156	0.393497288
157	0.3924711827
158	0.3920431008
159	0.3917873005
160	0.3913343491
161	0.3911033055
162	0.3902290112
163	0.3900197072
164	0.3893329208
165	0.3886402694
166	0.3881060551
167	0.3875667091
168	0.3871585058
169	0.3866309742
170	0.3861179638
171	0.3857641237
172	0.3854987084
173	0.3848623094
174	0.3840215691
175	0.3834891876
176	0.3832731447
177	0.3827820714
178	0.3825010915
179	0.3819700635
180	0.3814390073
181	0.3811433933
182	0.3805531241
183	0.3801263392
184	0.3799310772
185	0.3797110021
186	0.3795529597
187	0.3793190119
188	0.3790816523
189	0.3783129545
190	0.3781065548
191	0.3777750183
192	0.3774653342
193	0.3770923767
194	0.376781029
195	0.37612055
196	0.3759098645
197	0.3757354962
198	0.3752697435
199	0.3748454117
200	0.3743620925
201	0.3737538338
202	0.3735265122
203	0.3732640293
204	0.372754318
205	0.3725834179
206	0.372258705
207	0.3718225588
208	0.3716469217
209	0.3712355321
210	0.3708478278
211	0.3701808636
212	0.3699550646
213	0.3695903406
214	0.3693958681
215	0.3692755811
216	0.3689419298
217	0.3687101532
218	0.3685405501
219	0.3683695091
220	0.367928795
221	0.3675102436
222	0.3670904514
223	0.3666804436
224	0.3665299861
225	0.3664534321
226	0.3662842521
227	0.3656979304
228	0.3654596684
229	0.3649872331
230	0.3646181386
231	0.3642018711
232	0.3640385559
233	0.363528478
234	0.3633390246
235	0.3631345986
236	0.3630622742
237	0.3629110272
238	0.362634305
239	0.3621931398
240	0.3621225917
241	0.3617972584
242	0.3615397664
243	0.3612109085
244	0.3608253754
245	0.360560665
246	0.3603923308
247	0.359910788
248	0.3597285246
249	0.359623492
250	0.3592405812
251	0.3590485336
252	0.3588762801
253	0.3585133043
254	0.3583415865
255	0.3580966138
256	0.3579246704
257	0.3577501894
258	0.3574522633
259	0.3572930085
260	0.3569666037
261	0.3568119168
262	0.3566480659
263	0.3564118059
264	0.3561911951
265	0.3560218459
266	0.3558532016
267	0.3557860371
268	0.3556236524
269	0.3552272917
270	0.3549796403
271	0.3544089396
272	0.3539336564
273	0.3538703266
274	0.3536399034
275	0.3534706387
276	0.3528509886
277	0.3526914236
278	0.352529913
279	0.3524419676
280	0.3520540095
281	0.3519042005
282	0.3515786417
283	0.3514588904
284	0.3510639396
285	0.3508045019
286	0.3506517324
287	0.3505913351
288	0.3499084116
289	0.3497503974
290	0.3494788634
291	0.3493369213
292	0.3492380638
293	0.3489863802
294	0.3488311293
295	0.3483694369
296	0.3479755293
297	0.3478625735
298	0.3474545111
299	0.347238863
