iter	Passed	Remaining
0	195	58331
1	230	34405
2	265	26275
3	319	23667
4	386	22799
5	433	21237
6	501	20976
7	546	19963
8	629	20369
9	692	20072
10	747	19647
11	784	18821
12	825	18233
13	873	17848
14	934	17753
15	994	17650
16	1074	17891
17	1123	17603
18	1177	17415
19	1225	17158
20	1288	17121
21	1347	17029
22	1431	17238
23	1504	17303
24	1555	17113
25	1595	16819
26	1646	16644
27	1691	16429
28	1735	16214
29	1774	15974
30	1817	15774
31	1856	15551
32	1901	15386
33	1943	15204
34	1988	15054
35	2042	14975
36	2115	15039
37	2170	14965
38	2260	15129
39	2355	15307
40	2405	15195
41	2480	15237
42	2524	15086
43	2561	14904
44	2607	14774
45	2641	14585
46	2683	14445
47	2721	14289
48	2765	14164
49	2803	14017
50	2846	13895
51	2899	13828
52	2938	13695
53	2976	13559
54	3049	13584
55	3134	13657
56	3195	13622
57	3248	13555
58	3294	13458
59	3349	13397
60	3404	13340
61	3447	13232
62	3483	13105
63	3528	13012
64	3565	12892
65	3607	12790
66	3650	12695
67	3699	12621
68	3751	12559
69	3798	12480
70	3854	12431
71	3893	12330
72	3943	12261
73	4015	12263
74	4095	12287
75	4147	12224
76	4207	12184
77	4254	12107
78	4302	12036
79	4354	11973
80	4406	11914
81	4445	11817
82	4495	11752
83	4532	11655
84	4571	11562
85	4609	11470
86	4650	11386
87	4687	11292
88	4727	11207
89	4765	11118
90	4810	11048
91	4865	11000
92	4914	10938
93	4972	10896
94	5023	10841
95	5107	10854
96	5196	10874
97	5253	10828
98	5308	10778
99	5402	10805
100	5462	10762
101	5515	10705
102	5562	10639
103	5606	10565
104	5645	10484
105	5700	10432
106	5749	10369
107	5800	10311
108	5845	10243
109	5886	10167
110	5928	10095
111	5973	10026
112	6081	10064
113	6152	10039
114	6202	9977
115	6250	9914
116	6289	9837
117	6340	9780
118	6379	9703
119	6426	9639
120	6487	9597
121	6537	9538
122	6581	9471
123	6626	9405
124	6672	9341
125	6708	9264
126	6745	9188
127	6789	9123
128	6831	9055
129	6878	8994
130	6930	8940
131	6980	8884
132	7019	8813
133	7066	8754
134	7100	8678
135	7137	8606
136	7177	8539
137	7224	8481
138	7261	8410
139	7299	8342
140	7371	8312
141	7438	8276
142	7501	8236
143	7546	8175
144	7589	8113
145	7644	8063
146	7687	8001
147	7738	7947
148	7781	7885
149	7826	7826
150	7878	7774
151	7943	7734
152	8015	7700
153	8112	7690
154	8154	7628
155	8191	7561
156	8241	7506
157	8280	7442
158	8319	7377
159	8359	7314
160	8426	7274
161	8482	7226
162	8553	7189
163	8609	7139
164	8655	7081
165	8703	7025
166	8741	6961
167	8786	6904
168	8823	6839
169	8868	6781
170	8905	6718
171	8943	6655
172	9007	6612
173	9073	6570
174	9121	6515
175	9171	6461
176	9208	6399
177	9247	6338
178	9284	6276
179	9334	6223
180	9373	6162
181	9413	6103
182	9456	6046
183	9499	5988
184	9537	5928
185	9577	5869
186	9621	5814
187	9666	5758
188	9718	5707
189	9781	5663
190	9830	5610
191	9870	5552
192	9921	5500
193	9979	5452
194	10029	5400
195	10081	5349
196	10118	5290
197	10161	5234
198	10216	5185
199	10267	5133
200	10312	5079
201	10351	5022
202	10399	4969
203	10441	4913
204	10482	4857
205	10538	4808
206	10597	4761
207	10648	4710
208	10693	4655
209	10734	4600
210	10789	4550
211	10849	4503
212	10933	4465
213	10986	4415
214	11032	4361
215	11073	4306
216	11109	4249
217	11154	4195
218	11191	4139
219	11232	4084
220	11276	4031
221	11332	3981
222	11389	3932
223	11428	3877
224	11474	3824
225	11507	3768
226	11665	3751
227	11773	3717
228	11816	3663
229	11876	3614
230	11913	3558
231	11952	3503
232	11995	3449
233	12036	3395
234	12077	3340
235	12113	3285
236	12160	3232
237	12195	3176
238	12238	3123
239	12288	3072
240	12342	3021
241	12386	2968
242	12426	2914
243	12474	2862
244	12518	2810
245	12558	2756
246	12603	2704
247	12642	2650
248	12683	2597
249	12727	2545
250	12783	2495
251	12844	2446
252	12887	2394
253	12936	2342
254	12975	2289
255	13018	2237
256	13086	2189
257	13139	2138
258	13181	2086
259	13225	2034
260	13261	1981
261	13309	1930
262	13355	1878
263	13409	1828
264	13458	1777
265	13479	1722
266	13526	1671
267	13570	1620
268	13615	1569
269	13665	1518
270	13705	1466
271	13742	1414
272	13779	1362
273	13820	1311
274	13861	1260
275	13902	1208
276	13961	1159
277	14013	1108
278	14060	1058
279	14100	1007
280	14149	956
281	14187	905
282	14227	854
283	14267	803
284	14306	752
285	14350	702
286	14388	651
287	14428	601
288	14472	550
289	14512	500
290	14547	449
291	14604	400
292	14658	350
293	14708	300
294	14746	249
295	14788	199
296	14840	149
297	14893	99
298	14953	50
299	14992	0
